VOICE	en-US	en-GB	de-DE	de-CH	ru-RU	es-MX	es-ES	pt-BR	fr-FR	it-IT	zh-CN	ja-JP	ar-SA	Transcript-zh-CN
fruits & vegetables	radish		das Radieschen	Radiesli	редис	el rábano		o rabanete	le radis	il ravanello	萝卜	大根	فجل	luóbo
fruits & vegetables	raspberry		die Himbeere		малина	la frambuesa		a framboesa	la framboise	il lampone	覆盆子	ラズベリー	توت العُليق	fù pénzi
fruits & vegetables	strawberry		die Erdbeere		клубника	la fresa		o morango	la fraise	la fragola	草莓	イチゴ	الفراولة	cǎoméi
fruits & vegetables	sweet pepper		der Paprika	Pepperoni	сладкий перец	el pimiento morrón		o pimentão	le paprika	il peperone	甜椒	ピーマン	فلفل حلو	tián jiāo
fruits & vegetables	tomato		die Tomate		помидор	el jitomate	el tomate	o tomate	la tomate	il pomodoro	西红柿，番茄	トマト	طماطم	xīhóngshì, fānqié
fruits & vegetables	walnut		die Walnuss		грецкий орех	la nuez		a noz	la noix	la noce	核桃	クルミ	الجوز	hétáo
fruits & vegetables	watermelon		die Wassermelone		арбуз	la sandía		a melancia	la pastèque	l'anguria	西瓜	スイカ	بطيخ	xīguā
fruits & vegetables	zucchini	courgette	die Zucchini		кабачок	la calabacita	el calabacín	a abobrinha	la courgette	lo zucchino	绿皮西葫芦	ズッキーニ	كوسة	lǜ pí xīhúlu
food and beverage	salad		der Gartensalat		салат	la ensalada		a salada	la salade	l'insalata	沙拉	サラダ	سلطة	shālā
food and beverage	butter		die Butter		масло	la mantequilla		a manteiga	le beurre	il burro	黄油	バター	زبدة	huángyóu
food and beverage	bread		das Brot		хлеб	el pan		o pão	le pain	il pane	面包	パン	خبز	miànbāo
food and beverage	bun	bap	das Brötchen	Brötli	булка	el bolillo	el bollo	o pão	le petit-pain	la ciambella	小圆面包	菓子パン	الخبز الصغير	xiǎo yuán miànbāo
food and beverage	bacon		der Speck		сало	el tocino		o bacon	le bacon	il bacon	熏肉，培根	ベーコン	لحم خنزير مقدد	xūn ròu, péigēn
food and beverage	sunny side up	fried egg	das Spiegelei		яичница глазунья	el huevo estrellado	el huevo frito	o ovo frito com a gema mole	l'œuf au plat	l'uovo sodo	只煎一面的荷包蛋	目玉焼き	بيض مقلي	zhǐ jiān yīmiàn de hébāodàn
food and beverage	omelet	omelette	das Omelett		яичница омлет	el omelet	la tortilla	o omelete	l'omelette	la frittata	煎蛋卷	オムレツ	عجة البيض	jiān dàn juǎn
food and beverage	burger		der Hamburger		гамбургер	la hamburguesa		o hambúrguer	le hamburger	gli hamburger	汉堡包	バーガー	برغر	hànbǎobāo
food and beverage	hot dog		das Hotdog		хот дог, бутерброд с горячей сосиской	el hot dog	el perrito caliente, el pancho	o cachorro quente	le hot-dog, le chien-chaud	di hot-dog	热狗	ホットドッグ	نقانق	règǒu
food and beverage	french fries	chips	die Pommes frites		картофель фри	las papas a la francesa	las patatas fritas a la francesa	as batatas fritas	les frites	le patatine fritte	薯条	フライドポテト	بطاطس مقلية	shǔ tiáo
food and beverage	hash browns		die Bratkartoffeln	Rösti	жареная картошка	las papas fritas	las patatas fritas	Hash brown; batata frita, batata frita tipo hash brown	les pommes de terre sautées	la patata fritta	土豆煎饼	ハッシュブラウン	عجة بطاطا مبشورة	tǔdòu jiānbing
food and beverage	mashed potato		das Kartoffelpüree	Herföpfelstock	картофельное пюре	el puré de papas	el puré de patatas	o purê de batata	la purée	il purè	土豆泥	マッシュポテト	بطاطا مهروسة	tǔdòu ní
food and beverage	pickles		die Essiggurke		соленый огурец	el pepinillo	el pepinillo encurtido	o picles	le cornichon	i sottaceti	咸菜，泡菜	ピクルス	مخللات	xiáncài, pàocài
food and beverage	ham		der Schinken		ветчина	el jamón		o presunto	le jambon	il prosciutto	火腿	ハム	لحم خنزير	huǒtuǐ
food and beverage	smoked ham		der Rohschinken		прошутто, копчёный окорок	el jamón serrano		o presunto defumado	le jambon cru	il prosciutto crudo	熏火腿	薫製ハム	لحم خنزير مدخن	xūn huǒtuǐ
food and beverage	bologna		die Fleischkäse	Lyoner	варёная колбаса	la mortadela		a mortadela	la saucisse de Lyon	la mortadella	意式肉肠	モルタデッラ	صلصة بولونيا	yì shì ròu cháng
food and beverage	sausage		die Wurst		сосиска	la salchicha		a linguiça	la saucisse	la salsiccia	香肠	ソーセージ	سجق	xiāngcháng
food and beverage	chicken leg		die Hähnchenkeule	Pouletschenkel	куриная ножка	la pierna de pollo		a coxa de frango	la cuisse de poulet	la coscia di pollo	鸡腿	鶏の足	فخذ الدجاج	jītuǐ
food and beverage	prawn, shrimp	shrimp	die Garnele	Crevette	креветка	el camarón	la gamba	o camarão	la crevette	il gamberetto	虾	クルマエビ、エビ	الجمبري والروبيان	xiā
food and beverage	liver pate		die Leberpastete		печёнка	el paté de hígado		o patê de fígado	le patê de foie	il patè di fegato	烤肝	レバーパテ	مورتديلا الكبد	kǎo gān
food and beverage	goose liver		die Gänseleber		гусиная печёнка	el foie-gras		o fígado de ganso	le foie gras	il fegato d'oca	鹅肝	ガチョウの肝臓	كبد الإوز	é gān
food and beverage	cutlet		die Schnitzel		котлета	la chuleta		a bisteca	l'escalope	la cotoletta	肉片	カツレツ	كستلاتة	ròupiàn
food and beverage	steak		das Steak		бифштекс	el filete	el bistec	o bife	le bifteck	la bistecca	牛排	ステーキ	شريحة لحم	niúpái
food and beverage	roasted beef		das gebratene Fleisch	Brate	жареная говядина	la carne asada		o bife assado	le rôti de boeuf	il manzo arrosto	烤牛肉	ローストビーフ	لحم البقر المشوي	kǎo niúròu
food and beverage	skewer		der Bratspieß		шашлык, шампур	la broqueta		o espeto	la broche	il spiedo	串	串	سيخ	chuàn
food and beverage	fish and fries	fish and chips	die Fisch und Chips		рыба с картошкой	el pescado con papas	el pescado con patatas	o Peixe com fritas	le poisson avec des frites	il pesce e le patatine fritte	炸鱼和薯条	魚とフライドポテト	السمك والبطاطا المقلية	zhà yú hé shǔ tiáo
food and beverage	meatball		das Hackfleischbällchen	Hackfleischbölle	фрикаделька	la albóndiga		a almôndega	la boulette de viande	la polpetta	肉球	ミートボール	كرة لحم	ròu qiú
food and beverage	dumplings		die Ravioli		пельмени	los ravioles		a guioza	les raviolis	i ravioli	饺子	餃子	الزلابية	jiǎozi
food and beverage	rice		der Reis		рис	el arroz		o arroz	le riz	il riso	米饭	米	الأرز	mǐfàn
food and beverage	ketchup		der Ketschup		кетчуп	el catsup	el ketchup	o ketchup	le ketchup	il ketchup	番茄酱	ケチャップ	كاتشب	fānqié jiàng
food and beverage	mustard		der Senf		горчица	la mostaza		a mostarda	la moutarde	la senape	芥末酱	マスタード	خردل	jièmò jiàng
food and beverage	horseradish		der Meerrettich		хрен	el rábano picante		a raiz-forte	le raifort	il rafano	山葵	セイヨウワサビ	فجل حار	shānkuí
food and beverage	hot sauce		die scharfe Soße		острый соус	la salsa picante		o molho picante	la sauce piquante	la salsa piccante	辣椒酱	ホットソース	الصلصة الحارة	làjiāo jiàng
food and beverage	sour cream		der Sauerrahm		сметана	la crema agria		o creme azedo; a nata azeda	la crème fraîche	la panna acida	酸奶油，酸乳脂	サワークリーム	الكريمة الحامضة	suānnǎi yóu, suān rǔzhī
food and beverage	cheese		der Käse	Chäs	сыр	el queso		o queijo	le fromage	il formaggio	奶酪，芝士	チーズ	جبن	nǎilào, zhīshì
food and beverage	cottage cheese		der Hüttenkäse	Hüttechäs	творог	el queso cottage		o queijo tipo cottage	le fromage blanc	i fiocchi di latte	白干酪	カッテージチーズ	جبن قريش	bái gānlào
food and beverage	oatmeal	porridge	der Brei		каша	la harina de avena		a aveia	les flocons d'avoine	i fiocchi d'avena	粥，麦片粥	オートミール	دقيق الشوفان	zhōu, màipiàn zhōu
food and beverage	dough		der Teig		тесто	la masa		a massa	la pâte	la pasta	生面团	（パンなどの）生地	عجينة	shēng miàntuán
food and beverage	cake		der Kuchen	Chueche	торт	el pastel		o bolo	le gâteau	la torta	蛋糕	ケーキ	كعكة	dàngāo
food and beverage	cookie	biscuit	der Keks		печенье	la galleta		o biscoito	le biscuit	il biscotto	曲奇饼	クッキー	بسكوت	qū qí bǐng
food and beverage	candy	sweet	die Süßigkeiten		конфета	el dulce		o doce	le bonbon	la caramella	糖果	キャンディ	حلوى	tángguǒ
food and beverage	chocolate		die Schokolade	Schoggi	шоколад	el chocolate		o chocolate	le chocolat	i fiocchi di latte	巧克力	チョコレート	شوكولاتة	qiǎokèlì
food and beverage	jam		die Konfitüre	Konfi	варенье	la mermelada		a geléia	la confiture	la marmellata	果酱	ジャム	مربى	guǒjiàng
food and beverage	honey		der Honig		мёд	la miel		o mel	le miel	il miele	蜂蜜	蜂蜜	عسل	fēngmì
food and beverage	icecream		das Eis	Glacé	мороженое	el helado		o sorvete	la glace 	il gelato	冰激凌	アイスクリーム	بوظة	Bīngjīlíng
food and beverage	gummy bear		das Gummibärchen	Gummibärli	мармеладный мишка	el osito de goma		o urso de goma	l'ourson en bonbon	l'orsetto gommoso	橡胶熊	くまグミ	حلوى الدب المطاطي	xiàngjiāo xióng
food and beverage	sugar		der Zucker		сахар	el azúcar		o açúcar	le sucre	lo zucchero	食糖	砂糖	السكر	shítáng
food and beverage	salt		das Salz		соль	el salero		o sal	le sel	il sale	食盐	塩	ملح	shíyán
food and beverage	pepper		der Pfeffer		перец	la pimienta		a pimenta	le poivre	il pepe	胡椒	コショウ	فلفل	hújiāo
food and beverage	olive oil		das Olivenöl		оливковое масло	el aceite de oliva		o azeite de oliva	l'huile d'olive	l'olio d'oliva	橄榄油	オリーブオイル	زيت الزيتون	gǎnlǎn yóu
food and beverage	water		das Wasser		вода	el agua		a água	l'eau	l'acqua	水	水	ماء	shuǐ
food and beverage	sparkling water		das Wasser mit Kohlensäure		газированная вода	el agua con gas		a água com gás	l'eau pétillante	l'acqua minerale gassata	苏打水	スパークリングウォーター	ماء فوار	sūdǎ shuǐ
food and beverage	juice		der Saft		сок	el jugo	el zumo	o suco	le jus	il succo	果汁	ジュース	عصير	guǒzhī
food and beverage	milk		die Milch		молоко	la leche		o leite	le lait	il latte	牛奶	ミルク	حليب	niúnǎi
food and beverage	tea		der Tee		чай	el té		o chá	le thé	il tè	茶	お茶	شاي	chá
food and beverage	coffee		der Kaffee	Kafi	кофе	el café		o café	le café	il caffè	咖啡	コー​​​​ヒー	قهوة	kāfēi
food and beverage	sparkling wine		der Schaumwein, der Sekt	Cüpli (Sektglass)	игристое вино, шампанское	el vino espumoso, el cava		o espumante	le vin mousseux, le champagne 	lo spumante, il prosecco	起泡酒，香槟	スパークリングワイン	نبيذ فوار	qǐ pào jiǔ, xiāngbīn
food and beverage	red wine		der Rotwein	Rotwii	красное вино	el vino tinto		o vinho tinto	le vin rouge	il vino rosso	红葡萄酒	赤ワイン	نبيذ أحمر	hóng pútáojiǔ
food and beverage	white wine		der Weißwein	Wiisswii	белое вино	el vino blanco		o vinho branco	le vin blanc	il vino bianco	白葡萄酒	白ワイン	نبيذ أبيض	bái pútáojiǔ
food and beverage	rosé wine		der Roséwein	Rosäwii	розовое вино	el vino rosado		o vinho rosé	le vin rosé	il vino rosato	桃红葡萄酒	ロゼワイン	نبيذ وردي	táohóng pútáojiǔ
food and beverage	beer		das Bier		пиво	la cerveza		a cerveja	la bière	la birra	啤酒	ビール	بيرة	píjiǔ
food and beverage	chewing gum		der Kaugummi		жвачка	el chicle		o chiclete, a goma de mascar	le chewing-gum	il chewing gum	口香糖	チューインガム	علكة	kǒuxiāngtáng
food and beverage	toothpick		der Zahnstocher	Zahstocher	зубочистка	el palillo de dientes		o palito de dente	le cure-dent	lo stuzzicadenti	牙签	つまようじ	عود اسنان	yáqiān
household	chair		der Stuhl		стул	la silla		a cadeira	la chaise	la sedia	椅子	椅子	كرسي	yǐzi
household	table		der Tisch		стол	la mesa		a mesa	la table	il tavolo	桌子	テーブル	جدول	zhuōzi
household	armchair		der Sessel		кресло	el sillón		a poltrona	le fauteuil	la poltrona	扶手椅	アームチェア	أريكة	fúshǒu yǐ
household	closet	wardrobe	der Kleiderschrank	Chleiderschrank	шкаф	el armario		o armário; o guarda roupa	le placard	il ripostiglio	衣橱	クローゼット	خزانة	yī chú
household	living room		das Wohnzimmer		гостиная	la sala	la sala de estar	a sala de estar	le séjour	il soggiorno	客厅，起居室	リビングルーム	غرفة المعيشة	kètīng, qǐ jūshì
household	hallway		der Flur	Korridor	корридор	el corridor		a entrada	le couloir	il corridoio	走廊	廊下	مدخل	zǒuláng
household	carpet	rug	der Teppich		ковёр	la alfombra		o tapete	le tapis	il tappeto	地毯	カーペット	سجادة	dìtǎn
household	couch		das Sofa		диван	el sofá		o sofá	le canapé	il divano	长沙发	カウチ	أريكة	chǎngshā fā
household	kitchen		die Küche	Chuchi	кухня	la cocina		a cozinha	la cuisine	la cucina	厨房	キッチン	مطبخ	chúfáng
household	floor		der Fußboden	Fuessbode	пол	el piso	el suelo	o chão	le sol	il pavimento	地板	フロア	أرضية	dìbǎn
household	ceiling		die Decke	Decki	потолок	el techo		o teto	le plafond	il soffitto	天花板	天井	سقف	tiānhuābǎn
household	curtain		der Vorhang		занавеска	la cortina		a cortina	le rideau	la tenda	窗帘	カーテン	ستارة	chuānglián
household	blinds		der Fensterladen	Feischterlade	жалюзи	las persianas		a persiana	les fenêtres persiennes	le persiane	百叶窗	ブラインド	الستائر	bǎiyèchuāng
household	stairs		die Treppe	Stege	лестница	la escalera		a escada	l'escalier	la scala	楼梯，梯级	階段	درج	lóutī, tījí
household	elevator	lift	der Fahrstuhl	Lift	лифт	el elevador	el ascensor	o elevador	l'ascenseur	l'ascensore	电梯	エレベーター	المصعد الكهربائي	diàntī
household	window		das Fenster	Feischter	окно	la ventana		a janela	la fenêtre	la finestra	窗户	ウィンドウ、窓	نافذة	chuānghù
household	door		die Tür		дверь	la puerta		a porta	la porte	la porta	门	ドア	باب	mén
household	bell		die Glocke		колокольчик	la campana		o sino	la cloche	la campana	钟、铃（声）	ベル	جرس	zhōng, líng (shēng)
household	doorbell		die Klingel		звонок	el timbre		a campainha	la sonnette	il campanello	门铃	ドアベル	جرس الباب	ménlíng
household	lock		das Türschloss		замок	el candado		a fechadura	le cadenas	la serratura	锁	ロック、錠	قفل	suǒ
household	key		der Schlüssel		ключ	la llave		a chave	la clé, clef	la chiave	钥匙	鍵	مفتاح	yàoshi
household	lamp		die Lampe		лампа	la lámpara		a luminária	la lampe	la lampada	灯	ランプ	سراج	dēng
household	bulb		die Glühbirne	Glüehbire	лампочка	el foco	la bombilla	o bulbo	l'ampoule	la lampadina	灯泡	電球	لمبة	dēngpào
household	wall		die Wand		стена	la pared		a parede	le mur	il muro	墙	壁	الجدار	qiáng
household	mirror		der Spiegel		зеркало	el espejo		o espelho	le miroir	lo specchio	镜子	鏡	مرآة	jìngzi
household	wall clock		die Wanduhr		настенные часы	el reloj de pared		o relógio de parede	l'horloge murale	l'orologio da parete	挂钟	壁時計	ساعة الحائط	guàzhōng
household	vase		die Vase		ваза	el florero		o vaso	le vase	il vaso	花瓶	花瓶	مزهرية	huāpíng
household	flower		die Blume	Blueme	цветок	la flor		a flor	la fleur	il fiore	花瓶	花	زهرة	huāpíng
household	painting		das Bild		картина	el cuadro		a pintura	le tableau	la pittura	绘画，油画	ペインティング、絵画	لوحة	huìhuà, yóuhuà
household	frame		der Rahmen		рама	el marco		a moldura	le cadre	la cornice	框架	フレーム	هيكل	kuàngjià
household	sculpture		die Skulptur		скульптура	la escultura		a escultura	la sculpture	la scultura	雕塑	彫刻	نحت	diāosù
household	dresser	chest of drawers	die Kommode		комод	la cómoda		a cômoda	la commode	il cassettone	梳妆台	ドレッサー	خِزانة ذات أدراج	shūzhuāng tái
household	sideboard, cupboard		die Anrichte, das Büfett		сервант, буфет	el bufete	el aparador	o parador, armário	le buffet	la credenza	橱柜	サイドボード	مقصف	chúguì
household	broom		der Besen		метла	la escoba		a vassoura	le balai	la scopa	扫帚	ほうき	مكنسة	sàozhǒu
household	mop		der Wischmopp		швабра	el trapeador	la fregona	o esfregão	la serpillère	il mocio	拖把	モップ	ممسحة	tuōbǎ
household	bucket		der Eimer	Chübel	ведро	la cubeta 	el cubo	o balde	le seau	il secchio	水桶	バケツ	دلو	shuǐtǒng
household	trash can	rubbish bin	der Mülleimer	Abfallchübel	мусорное ведро	el bote de basura	el cubo de basura	a lixeira	la poubelle	il cestino	垃圾筒	ごみ箱	حاوية القمامة	lèsè tǒng
household	wastepaper basket		der Papierkorb		корзина для канцелярского мусора	la papelera	el cesto de papeles	o cesto de lixo	la corbeille à papier	il cestino della carta	废纸篓	古紙バスケット	سلة مهملات	fèi zhǐ lǒu
household	ashtray		der Aschenbecher		пепельница	el cenicero		o cinzeiro	le cendrier	il posacenere	烟灰缸	灰皿	طفاية (صحن السجائر)	yānhuī gāng
household	apartment	flat	die Wohnung		квартира	el departamento	el piso	o apartamento	l'appartement	l'appartamento	公寓	アパート	شقة	gōngyù
household	building		das Gebäude		здание	el edificio		o edifício	le bâtiment	la costruzione	建筑	建物	بناية	jiànzhú
household	house		das Haus	Huus	дом	la casa		a casa	la maison	la casa	房子	家	بيت	fángzi
household	ground floor		das Erdgeschoss		нижний этаж (первый)	la planta baja		o térreo	le rez-de-chaussée	il pianoterreno	一楼	地下	الطابق الأرضي	yī lóu
household	first floor		erster Stock		первый этаж	primer piso		o primeiro andar	premier étage	il primo piano	第一层	一階	الطابق الأول	dì yī céng
household	second floor		zweiter Stock		второй этаж	segundo piso		o segundo andar	deuxième étage	il secondo piano	二楼	二階	الطابق الثاني	èr lóu
household	third floor		dritter Stock		третий этаж	tercer piso		o terceiro andar	troisième étage	il terzo piano	三楼	三階	الطابق الثالث	sān lóu
household	fourth floor		vierter Stock		четвёртый этаж	cuarto piso		o quarto andar	quatrième étage	il quarto piano	四楼	四階	الطابق الرابع	sì lóu
household	fifth floor		fünfter Stock		пятый этаж	quinto piso		o quinto andar	cinquième étage	il quinto piano	五楼	五階	الطابق الخامس	wǔ lóu
household	sixth floor		sechster Stock		шестой этаж	sexto piso		o sexto andar	sixième étage	il sesto piano	六楼	六階	الطابق السادس	liù lóu
household	seventh floor		siebter Stock		седьмой этаж	séptimo piso		o sétimo andar	septième étage	il settimo piano	七楼	七階	الدور السابع	qī lóu
household	eighth floor		achter Stock		восьмой этаж	octavo piso		o oitavo andar	huitième étage	l'ottavo piano	八楼	八階	الطابق الثامن	bā lóu
household	ninth floor		neunter Stock		девятый этаж	noveno piso		o nono andar	neuvième étage	il nono piano	九楼	九階	الطابق التاسع	jiǔ lóu
household	tenth floor		zehnter Stock		десятый этаж	décimo piso		o décimo andar	dixième étage	il decimo piano	十楼	十階	الطابق العاشر	shí lóu
household	penthouse		die Dachwohnung	Attikawohnung	пентхауз	el penthouse	el ático	a cobertura	le grenier	la mansarda	耳房	ペントハウス	شقة بنتهاوس	ěrfáng
household	fireplace		der offene Kamin		камин	la chimenea		a lareira	la cheminée	il camino	壁炉	暖炉	مدفأة	bìlú
household	roof		das Dach		крыша	el tejado		o tellhado	le toit	il tetto	屋顶	屋根	سطح البيت	wūdǐng
household	fire extinguisher		der Feuerlöscher		огнетушитель	el extintor		o extintor de incêndio	l'extincteur	l'estintore	灭火器	消火器	مطفأة الحريق	mièhuǒqì
household	mailbox	letter box	der Briefkasten		почтовый ящик	el buzón de correo		a caixa de correio	la boîte aux lettres	la cassetta postale	信箱	メールボックス、郵便受け	صندوق بريد	xìnxiāng
household	ladder		die Leiter		лестница стремянка	la escalera doble		a escada	l'échelle double	la scala a pioli	梯子	はしご	سلم	tīzi
household	rope		der Strick	Seil	верёвка	la cuerda		a corda	la corde	la corda	绳	ロープ	حبل	shéng
household	ghost		der Gespenst		привидение	la fantasma		o fantasma	le fantôme	il fantasma	鬼	ゴースト	طيف	guǐ
bed and bath	bedroom		das Schlafzimmer		спальня	la recámara	el dormitorio	o quarto	la chambre	la camera da letto	卧室	ベッドルーム、寝室	غرفة نوم	wòshì
bed and bath	bed		das Bett		кровать	la cama		a cama	le lit	il letto	床	ベッド	سرير	chuáng
bed and bath	double bed		das Doppelbett		двухспальная кровать	la cama matrimonial		a cama de casal	le lit deux places	il letto matrimoniale	双人床	ダブルベッド	سرير مزدوج	shuāngrén chuáng
bed and bath	bunk bed		das Etagenbett		двухъярусная кровать	la litera, las camas marineras		o beliche	le lit superposé	il letto a castello	上下铺	2段ベッド	سرير مكون من طابقين علوي و سفلي	shàng xià pù
bed and bath	mattress		die Matratze		матрац	el colchón		o colchão	le matelas	il materasso	床垫	マットレス	مرتبة سرير	chuáng diàn
bed and bath	bed linen		die Bettwäsche	Bettwösch	постельное бельё	la ropa de cama		a roupa de cama	les draps	la biancheria	被单和枕套	(ベッド用の) シーツと枕カバー	بياضات السرير	bèidān hé zhěntào
bed and bath	pillow		das Kissen	Chüssi	подушка	la almohada		o travesseiro	l'oreiller	il cuscino	枕头	枕	وسادة	zhěntou
bed and bath	blanket		die Bettdecke		одеяло	la cobija	la manta	o cobertor	le duvet	la coperta	毛毯	毛布	بطانية	máotǎn
bed and bath	bed sheet		das Bettlaken		простыня	la sábana		o lençol	le drap de lit	il lenzuolo	床单	ベッドシーツ	غطاء السرير	chuángdān
bed and bath	bedside-table		der Nachttisch		тумбочка	la mesita de noche		a mesa de cabeceira	la table de nuit	il comodino	床头柜	ベッドサイドテーブル	طاولة سرير جانبية	chuángtóuguì
bed and bath	night-light		das Nachtlicht	Nachtliecht	ночник	la lampa de noche	la lamparilla	a luminária	la veilleuse	la luce notturna	夜明灯	終夜灯	ضوء الليل	yè míngdēng
bed and bath	candle		die Kerze		свечка	la vela		a vela	la bougie	la candela	蜡烛	キャンドル	شمعة	làzhú
bed and bath	bathroom		das Badezimmer		ванная комната	el cuarto de baño		o banheiro	la salle de bain	la stanza da bagno	浴室	バスルーム	حمام	yùshì
bed and bath	bathtub	bath	die Badewanne		ванна	la tina	la bañera	a banheira	la baignoire	la vasca da bagno	浴缸	バスタブ	حوض استحمام	yùgāng
bed and bath	rug		der kleine Teppich	chline Teppich 	коврик	el tapete	la alfombra de baño	o tapete	le tapis de bain	il tappetino	小地毯	ぼろきれ	سجادة	xiǎo dìtǎn
bed and bath	shower		die Dusche	Duschi	душ	la regadera	la ducha	o chuveiro	la douche	la doccia	淋浴	シャワー	دش	línyù
bed and bath	toilet		das WC		унитаз	el excusado	el inodoro	o banheiro, o toalete	la cuvette des toilettes	il servizio igienico	马桶	トイレ	مرحاض	mǎtǒng
bed and bath	toilet seat		der Toilettensitz	WC Sitz	туалетное сидение	el asiento de tocador	el asiento de baño	o assento da privada	le siège de toilette	il sedile del water	马桶座圈	便座	مقعد المرحاض	mǎtǒng zuò quān
bed and bath	toilet paper		das Toilettenpapier	WC Papier	туалетная бумага	el papel de baño	el papel higiénico	o papel higiênico	le papier toilette	la carta igienica	厕所纸	トイレットペーパー	ورق التواليت	cèsuǒ zhǐ
bed and bath	tap		der (Wasser) Hahn		кран	la llave de agua	el grifo	a torneira	le robinet	il rubinetto	水龙头	蛇口	صنبور	shuǐlóngtóu
bed and bath	sink	hand basin	das Waschbecken	Waschbecki	раковина	el lavabo		a pía 	le lavabo	il lavello	水槽	シンク	بالوعة	shuǐcáo
bed and bath	towel		das Badetuch		полотенце	la toalla		a toalha	la serviette (de bain)	l'asciugamano	毛巾	タオル	منشفة	máojīn
bed and bath	face tissue, Kleenex		das Kosmetiktuch		бумажный платок	el pañuelo, el kleenex	el pañuelo de papel	o lenço de papel, Kleenex	le mouchoir en papier 	il fazzoletto di carta	薄纸	ティシュペーパー、クリネックス	منديل، كلينيكس	bó zhǐ
bed and bath	soap		die Seife		мыло	el jabón		o sabonete	le savon	il sapone	肥皂	せっけん	صابون	féizào
bed and bath	foam		der Schaum	Schuum	пена	la espuma		a espuma	la mousse	la schiuma	泡沫	泡	رغوة	pàomò
bed and bath	razor		der Rasierer		бритва	la rasuradora	la navaja de afeitar	a navalha	le rasoir	il rasoio	剃刀	かみそり	موس الحلاقة	tìdāo
bed and bath	toothbrush		die Zahnbürste		зубная щетка	el cepillo de dientes		a escova de dente	la brosse à dents	lo spazzolino da denti	牙刷	歯ブラシ	فرشاة الأسنان	yáshuā
bed and bath	toothpaste		die Zahnpasta		зубная паста	la pasta de dientes	la pasta dentífrica	a pasta de dente	le dentifrice	il dentifricio	牙膏	歯磨き粉	معجون الأسنان	yágāo
bed and bath	dental floss		die Zahnseide		зубная нить	el hilo dental		o fio dental	le fil dentaire	il filo interdentale	牙缝拉线	デンタルフロス	خيط الاسنان	yá fèng lāxiàn
bed and bath	deodorant		das Deo		дезодорант	el desodorante		o desodorante	le déodorant	il deodorante	除臭剂	デオドラント	مزيل عرق	chú chòu jì
bed and bath	perfume		der Duft, das Parfum		духи	el perfume		o perfume	le parfum	il profumo	香水	香水	عطر	xiāngshuǐ
bed and bath	shampoo		das Shampoo		шампунь	el champú		o xampu	le shampooing	lo shampoo	洗发水	シャンプー	شامبو	xǐ fǎ shuǐ
bed and bath	hand cream		die Handcreme		крем для рук	la crema para manos		o creme para mãos	la crème pour les mains	la crema per le mani	护手霜	ハンドクリーム	كريم ترطيب اليد	hù shǒu shuāng
bed and bath	hairbrush		die Haarbürste		расческа	el cepillo para pelo		a escova de cabelo	la brosse à cheveux	la spazzola per capelli	梳子，毛刷	ヘアブラシ	فرشاة للشعر	shūzi, máo shuā
bed and bath	bathrobe		der Bademantel		халат	la bata de baño		o roupão de banho	le peignoir de bain	l'accappatoio	浴衣，睡衣	バスローブ	رداء الحمام	yùyī, shuìyī
tools and appliances	blender	liquidiser	der Mixer		миксер	la licuadora	la batidora	o liquidificador	le mixeur	il miscelatore	搅拌机	ブレンダー	خلاط كهربائي	jiǎobànjī
tools and appliances	food processor		die Küchenmaschine	Chuchimaschine	кухонный комбайн	el auxiliar de cocina	el robot de cocina	o processador de alimentos	le robot de cuisine	il robot da cucina	食品加工机	フードプロセッサー	جهاز متعدد الوظائف لتحضير الطعام	shípǐn jiāgōng jī
tools and appliances	coffee maker		die Kaffeemaschine	Kafimaschine	кофеварка	la cafetera		a cafeteira	la cafetière	la macchina del caffè	咖啡机	コー​​ヒーメーカー	صانع القهوة	kāfēi jī
tools and appliances	(electric) fan		der Ventilator		вентилятор	el ventilador		o ventilador 	le ventilateur	il ventilatore	风扇	（電動）ファン	(مروحة كهربائية	fēngshàn
tools and appliances	juicer	squeezer	die Saftpresse		соковыжималка	la exprimidora	el exprimidor	o espremedor	le presse-fruits	lo spremiagrumi	榨汁机	ジューサー	عصارة	zhà zhī jī
tools and appliances	grill		der Grill		гриль	la parrilla		a grelha	le grill	la griglia	烤架	グリル	شواية	kǎo jià
tools and appliances	hair dryer		der Föhn		фен	la secadora de pelo		o secador de cabelo	le sèche-cheveux	l'asciugacapelli	电吹风	ヘアドライヤー	مجفف شعر	diàn chuīfēng
tools and appliances	heater		die Heizung	Heizig	обогреватель	el calentador	el calefactor	o aquecedor	le chauffage	il calorifero	加热器	ヒーター	سخان	jiārè qì
tools and appliances	iron		das Bügeleisen	Bügelise	утюг	la plancha		o ferro de passar 	le fer à repasser	il ferro da stiro	熨斗	アイロン	مكواة	yùndǒu
tools and appliances	ironing board		das Bügelbrett		гладильная доска	la tabla de planchar		a tábua de passar	la planche à repasser	il tavolo da stiro	烫衣板	アイロン台	طاولة الكي	tàng yī bǎn
tools and appliances	microwave oven		die Mikrowelle		микроволновая печь	el microondas		o microondas	le micro-ondes	il forno a microonde	微波炉	電子レンジ	المايكرويف	wéibōlú
tools and appliances	sewing machine		die Nähmaschine		швейная машина	la máquina de coser		a máquina de costura	la machine à coudre	la macchina da cucire	缝纫机	ミシン	ماكنة خياطة	féngrènjī
